Ticker,Company Name,Sector,Market Cap,52-Week High,52-Week Low,Average Price,Previous Close
GNW,GNW,Multi-line Insurance,3002034944,7.9,5.67,6.785,6.96
GO,GO,Food Retail,1625091968,29.19,13.6,21.395,16.6
GOGO,GOGO,Wireless Telecommunication Services,986073664,11.17,6.17,8.67,7.76
GPI,GPI,Automotive Retail,5593552896,440.32,255.73,348.025,414.9
GPRE,GPRE,Coal & Consumable Fuels,606428288,26.04,9.12,17.58,9.22
GRBK,GRBK,Homebuilding,2564431360,84.66,48.38,66.52,56.69
GSHD,GSHD,Insurance Brokers,3940572928,130.39,50.47,90.42999999999999,107.69
GTES,GTES,Industrial Machinery & Supplies & Components,5191152640,23.34,12.405,17.8725,20.23
GTY,GTY,Retail REITs,1680781568,33.85,25.7,29.775,30.26
GVA,GVA,Construction & Engineering,3963421440,105.2,43.92,74.56,90.0
HAFC,HAFC,Regional Banks,713842880,27.59,14.45,21.02,23.37
HAIN,HAIN,Packaged Foods & Meats,579046080,11.68,5.69,8.685,6.54
HASI,HASI,Specialized Finance,3315021312,36.56,21.77,29.165,26.39
HAYW,HAYW,Electrical Components & Equipment,3326161664,16.87,11.805,14.3375,15.34
HBI,HBI,"Apparel, Accessories & Luxury Goods",2901041920,9.1,3.88,6.49,8.1
HCC,HCC,Steel,2873470720,75.53,50.6,63.065,55.86
HCI,HCI,Property & Casualty Insurance,1194613760,126.5,81.35,103.925,111.25
HCSG,HCSG,Environmental & Facilities Services,828189504,13.0,8.98,10.99,11.44
HELE,HELE,Household Appliances,1434623360,127.83,48.05,87.94,62.15
HFWA,HFWA,Regional Banks,832320832,27.58,16.55,22.064999999999998,23.72
HI,HI,Industrial Machinery,2094553856,50.58,25.11,37.845,29.07
HIMS,HIMS,Health Care Services,5724150272,35.02,8.09,21.555,26.36
HIW,HIW,Office REITs,3253813760,36.78,21.37,29.075000000000003,29.37
HLIT,HLIT,Communications Equipment,1552152960,15.46,9.1,12.280000000000001,13.26
HLX,HLX,Oil & Gas Equipment & Services,1373499136,13.05,8.81,10.93,9.02
HMN,HMN,Multi-line Insurance,1611571328,43.26,31.81,37.535,39.43
HNI,HNI,Office Services & Supplies,2468120576,58.42,39.95,49.185,50.93
HOPE,HOPE,Regional Banks,1493541376,14.54,9.8,12.17,12.08
HP,HP,Oil & Gas Drilling,3007101952,44.11,29.46,36.785,30.3
HPP,HPP,Office REITs,424586304,9.86,2.39,6.125,2.61
HRMY,HRMY,Biotechnology,1955032832,41.61,28.14,34.875,33.89
HSII,HSII,Human Resource & Employment Services,892090496,49.02,26.52,37.77,44.43
HSTM,HSTM,Health Care Technology,956548608,33.52,23.92,28.720000000000002,31.19
HTH,HTH,Regional Banks,1865050368,35.66,28.58,32.12,28.84
HTLD,HTLD,Cargo Ground Transportation,883873984,14.6,9.63,12.115,11.57
HTZ,HTZ,Passenger Ground Transportation,1048879744,10.82,2.47,6.6450000000000005,3.27
HUBG,HUBG,Air Freight & Logistics,2642887168,53.21,38.07,45.64,45.07
HWKN,HWKN,Commodity Chemicals,2592508672,139.55,54.44,96.995,119.43
HZO,HZO,Specialty Stores,640556928,39.85,22.51,31.18,28.82
IAC,IAC,Publishing,3647436288,58.289,41.08,49.6845,41.75
IART,IART,Health Care Equipment,1682164352,45.42,16.81,31.115000000000002,21.71
IBP,IBP,Homebuilding,4965559296,281.04,168.08,224.56,176.99
IBTX,IBTX,Regional Banks,2497767936,68.66,36.47,52.565,59.34
ICHR,ICHR,Semiconductor Equipment,1005252288,46.43,26.4,36.415,29.92
ICUI,ICUI,Health Care Supplies,3839628032,196.26,86.8,141.53,153.2
IDCC,IDCC,Communications Equipment,4800857088,203.9,95.33,149.615,188.97
IIIN,IIIN,Building Products,550886272,39.38,26.74,33.06,28.72
IIPR,IIPR,Industrial REITs,2086920448,138.35,70.88,104.615,95.34
INDB,INDB,Regional Banks,2805486848,77.23,45.11,61.17,65.5
INN,INN,Hotel & Resort REITs,739410752,7.22,5.66,6.4399999999999995,6.69
INSP,INSP,Health Care Equipment,5626885120,257.4,123.0,190.2,185.42
INVA,INVA,Pharmaceuticals,1116803584,21.28,14.33,17.805,17.93
IOSP,IOSP,Specialty Chemicals,2736343040,133.71,103.97,118.84,109.17
IPAR,IPAR,Personal Products,4092511232,156.75,108.39,132.57,130.32
IRWD,IRWD,Pharmaceuticals,712124544,15.7,3.06,9.379999999999999,3.88
ITGR,ITGR,Health Care Equipment,4483558912,142.76,94.56,118.66,132.89
ITRI,ITRI,Electronic Equipment & Instruments,4915667968,124.9,67.21,96.055,107.99
JACK,JACK,Restaurants,766966272,86.2,38.12,62.16,38.71
JBGS,JBGS,Office REITs,1297579008,18.86,13.645,16.252499999999998,15.14
JBLU,JBLU,Passenger Airlines,2580764928,8.07,4.5,6.285,7.29
JBSS,JBSS,Packaged Foods & Meats,991867200,108.96,79.07,94.01499999999999,86.0
JBT,JBT,Industrial Machinery,3973319680,128.23,82.64,105.435,123.6
JJSF,JJSF,Packaged Foods & Meats,3119076352,180.8,133.23,157.015,160.78
JOE,JOE,Real Estate Development,2601608704,64.69,43.5,54.095,43.8
JXN,JXN,Life & Health Insurance,6520519680,115.22,47.49,81.355,86.33
KALU,KALU,Aluminum,1122620672,102.42,59.52,80.97,69.36
KAR,KAR,Diversified Support Services,2167864832,20.85,12.86,16.855,20.29
KELYA,KELYA,Human Resource & Employment Services,466869888,25.27,12.68,18.975,13.02
KFY,KFY,Human Resource & Employment Services,3433364480,80.64,54.77,67.705,66.23
KLG,KLG,Packaged Foods & Meats,1543363584,24.629,12.32,18.4745,17.88
KLIC,KLIC,Semiconductor Equipment,2529257472,56.71,38.2,47.455,47.07
KMT,KMT,Industrial Machinery,1910502656,32.18,22.5,27.34,24.98
KN,KN,Electronic Components,1708536576,20.49,14.97,17.73,19.54
KOP,KOP,Commodity Chemicals,628538624,58.23,30.64,44.435,31.35
KREF,KREF,Mortgage REITs,727729408,14.105,8.71,11.4075,10.31
KRYS,KRYS,Biotechnology,4740593152,219.34,107.5,163.42000000000002,160.83
KSS,KSS,Broadline Retail,1577376128,29.6,13.77,21.685000000000002,13.86
KTB,KTB,"Apparel, Accessories & Luxury Goods",4816609792,94.815,52.95,73.8825,86.27
KW,KW,Real Estate Services,1380990592,12.74,7.85,10.295,9.98
KWR,KWR,Specialty Chemicals,2465566976,221.94,137.65,179.79500000000002,141.06
LBRT,LBRT,Oil & Gas Equipment & Services,2969268736,24.75,16.57,20.66,18.27
LCII,LCII,Auto Parts & Equipment,2664640256,131.36,96.19,113.775,105.13
LEG,LEG,Home Furnishings,1301318528,26.84,9.64,18.240000000000002,9.82
LESL,LESL,Home Improvement Retail,399533024,8.21,2.02,5.115,2.06
LGIH,LGIH,Homebuilding,2144431104,136.89,84.0,110.445,90.27
LGND,LGND,Biotechnology,2166168576,129.9,67.53,98.715,113.945
LKFN,LKFN,Regional Banks,1756860160,78.61,57.45,68.03,68.26
LMAT,LMAT,Health Care Equipment,2071226112,109.58,52.88,81.23,92.25
LNC,LNC,Multi-line Insurance,5280633344,36.98,25.1,31.04,30.7
LNN,LNN,Agricultural & Farm Machinery,1331066368,135.2,109.27,122.23499999999999,123.09
LPG,LPG,Oil & Gas Storage & Transportation,983219328,51.659,22.461,37.06,23.17
LQDT,LQDT,Diversified Support Services,951747520,36.0,13.99,24.995,31.41
LRN,LRN,Education Services,4586366976,112.8,54.81,83.805,106.08
LTC,LTC,Health Care REITs,1587748992,39.89,30.3,35.095,34.81
LUMN,LUMN,Alternative Carriers,6007675392,10.33,0.97,5.65,6.06
LXP,LXP,Diversified REITs,2457187072,10.57,8.08,9.325,8.22
LZB,LZB,Home Furnishings,1773727488,46.47,32.0,39.235,42.54
MAC,MAC,Retail REITs,5220454912,22.27,12.99,17.63,19.92
MARA,MARA,IT Consulting & Other Services,6774064640,34.09,13.17,23.630000000000003,20.37
MATV,MATV,Specialty Chemicals,622688256,19.96,10.78,15.370000000000001,11.61
MATW,MATW,Diversified Support Services,843098880,39.12,21.09,30.104999999999997,27.71
MATX,MATX,Marine,4546130432,169.12,100.5,134.81,136.73
MBC,MBC,Building Products,1837909376,20.67,13.366,17.018,14.61
MC,MC,Investment Banking & Brokerage,5210173952,81.6,46.24,63.92,71.72
MCRI,MCRI,Casinos & Gaming,1439498752,89.06,64.5,76.78,79.11
MCW,MCW,Specialized Consumer Services,2278307328,9.45,5.84,7.645,7.04
MCY,MCY,Property & Casualty Insurance,3775755520,80.72,36.96,58.84,68.19
MD,MD,Health Care Services,1210056192,16.41,6.62,11.515,14.25
MDU,MDU,Multi-Utilities,3690372864,20.39,10.409972,15.399986,17.98
MGEE,MGEE,Electric Utilities,3420160512,109.22,61.94,85.58,93.94
MGPI,MGPI,Distillers & Vintners,878131968,102.42,38.84,70.63,41.8
MGY,MGY,Oil & Gas Exploration & Production,4499258368,29.02,19.16,24.09,23.14
MHO,MHO,Homebuilding,3644667392,176.18,109.92,143.05,136.4
MLAB,MLAB,Health Care Equipment,717381952,141.17,83.68,112.425,131.4
MLKN,MLKN,Office Services & Supplies,1548615552,31.73,20.89,26.310000000000002,23.0
MMI,MMI,Real Estate Services,1474912384,44.24,29.93,37.085,37.64
MMSI,MMSI,Health Care Supplies,5724202496,108.08,70.7,89.39,96.27
MNRO,MNRO,Automotive Retail,753526912,33.98,21.0,27.49,25.21
MODG,MODG,Leisure Products,1369488768,16.89,7.22,12.055,7.29
MOG.A,MOG.A,Aerospace & Defense,N/A,N/A,N/A,N/A,N/A
MP,MP,Diversified Metals & Mining,2585199104,24.01,10.02,17.015,16.18
MPW,MPW,Health Care REITs,2317543936,6.55,2.92,4.734999999999999,3.76
