Symbol,Company Name,Sector,Market Cap,52-Week High,52-Week Low,Average Price,Previous Close
MTRN,Materion Corporation,Basic Materials,1973656192,145.08,95.08,112.40965,98.88
MTUS,Metallus Inc.,Basic Materials,581746944,24.31,13.635,18.4133,14.13
MTX,Minerals Technologies Inc.,Basic Materials,2391014912,90.3,64.79,78.1268,76.21
MXL,"MaxLinear, Inc.",Technology,1650960384,26.59,11.08,17.2348,19.78
MYGN,"Myriad Genetics, Inc.",Healthcare,1228975232,29.3,12.87,22.419,13.71
MYRG,MYR Group Inc.,Industrials,2384106752,181.02,86.6,137.7982,148.77
NABL,"N-able, Inc.",Technology,1732765440,15.485,9.11,12.58275,9.34
NARI,"Inari Medical, Inc.",Healthcare,3032589568,65.94,36.73,47.1368,51.05
NATL,NCR Atleos Corporation,Technology,2469655808,35.5,18.415,27.6386,33.92
NAVI,Navient Corporation,Financial Services,1402160768,18.45,12.775,15.322675,13.29
NBHC,National Bank Holdings Corporation,Financial Services,1598847872,51.76,32.13,40.58205,43.06
NBR,Nabors Industries Ltd.,Energy,578597888,105.96,50.15,74.69855,57.17
NBTB,NBT Bancorp Inc.,Financial Services,2224419072,52.44,32.79,42.7091,47.76
NEO,"NeoGenomics, Inc.",Healthcare,2116672896,19.0,12.77,15.1337,16.48
NGVT,Ingevity Corporation,Basic Materials,1437243392,56.3,30.9,43.36565,40.75
NHC,National HealthCare Corporation,Healthcare,1644168320,138.49,87.03,114.13075,107.56
NMIH,"NMI Holdings, Inc.",Financial Services,2896231168,42.49,28.67,36.3425,36.76
NOG,"Northern Oil and Gas, Inc.",Energy,3769399296,44.31,31.13,39.14155,37.16
NPK,"National Presto Industries, Inc.",Industrials,686035840,99.07,69.58,78.10105,98.42
NPO,Enpro Inc.,Industrials,3551267328,197.94,136.68,158.9607,172.45
NSIT,"Insight Enterprises, Inc.",Technology,4743957504,228.07,146.56,192.4232,152.1
NTCT,"NetScout Systems, Inc.",Technology,1546224896,24.42,17.1,20.42835,21.66
NVEE,"NV5 Global, Inc.",Industrials,1205079808,28.29,18.43,23.05195,18.84
NVRI,Enviri Corporation,Industrials,664320832,12.79,6.57,9.0501,7.7
NWBI,"Northwest Bancshares, Inc.",Financial Services,1651104000,15.42,10.45,12.6145,13.19
NWL,Newell Brands Inc.,Consumer Defensive,4151679744,11.78,5.39,7.89725,9.96
NWN,Northwest Natural Holding Company,Utilities,1586016640,44.25,34.82,38.84705,39.56
NX,Quanex Building Products Corporation,Industrials,1111588096,39.31,22.92,30.33175,24.24
NXRT,"NexPoint Residential Trust, Inc.",Real Estate,2110786688,48.37,28.2,40.61415,41.75
NYMT,"New York Mortgage Trust, Inc.",Real Estate,556157504,8.61,5.14,6.27525,6.06
ODP,The ODP Corporation,Consumer Cyclical,662600384,58.13,21.66,35.7695,22.74
OFG,OFG Bancorp,Financial Services,1909356672,47.66,33.19,40.67935,42.32
OGN,Organon & Co.,Healthcare,3852783616,23.1,13.65,18.90925,14.92
OI,"O-I Glass, Inc.",Consumer Cyclical,1662455296,17.58,9.85,12.6591,10.84
OII,"Oceaneering International, Inc.",Energy,2743779072,30.98,18.95,25.03415,26.08
OMCL,"Omnicell, Inc.",Healthcare,2052760576,55.75,25.12,36.909,44.52
OMI,"Owens & Minor, Inc.",Healthcare,990850688,28.35,11.42,16.6826,13.07
OSIS,"OSI Systems, Inc.",Technology,2764283904,189.13,120.42,146.51254,167.43
OTTR,Otter Tail Corporation,Utilities,3029602048,100.84,72.12,83.9958,73.84
OUT,OUTFRONT Media Inc.,Real Estate,2909734656,19.5,12.27,16.49795,17.74
OXM,"Oxford Industries, Inc.",Consumer Cyclical,1233627520,113.88,72.24,92.56355,78.78
PAHC,Phibro Animal Health Corporation,Healthcare,839639616,25.98,10.035,19.2525,21.0
PARR,"Par Pacific Holdings, Inc.",Energy,933840576,40.7,14.84,23.4539,16.39
PAYO,Payoneer Global Inc.,Technology,3619621632,11.29,4.22,7.0802,10.04
PATK,"Patrick Industries, Inc.",Consumer Cyclical,2759535104,98.9,60.673332,81.9691,83.08
PBH,Prestige Consumer Healthcare Inc.,Healthcare,3839795456,86.36,57.95,72.1494,78.09
PBI,Pitney Bowes Inc.,Industrials,1311881088,8.8,3.68,6.24735,7.24
