Symbol,Current Stock Price,Predicted Short Position,Difference
CPK,$127.69,$96.77,"$30.92
"
CRC,$56.36,$44.92,"$11.44
"
BSIG,$30.59,$18.84,"$11.75
"
DGII,$33.00,$23.26,"$9.74
"
ADNT,$19.70,$20.65,"$-0.95
"
HTH,$32.17,$29.32,"$2.85
"
ACIW,$53.87,$29.46,"$24.41
"
ATEN,$18.40,$12.84,"$5.56
"
AX,$79.56,$42.83,"$36.73
"
HLX,$9.90,$9.23,"$0.67
"
FBK,$55.52,$35.26,"$20.26
"
B,$47.02,$28.18,"$18.84
"
HAIN,$8.07,$6.34,"$1.73
"
HSTM,$32.19,$24.93,"$7.26
"
INSP,$189.52,$137.43,"$52.09
"
GEO,$28.14,$11.79,"$16.35
"
BTU,$22.44,$21.49,"$0.95
"
BOH,$75.77,$57.62,"$18.15
"
KFY,$72.52,$53.87,"$18.65
"
CNMD,$74.69,$66.99,"$7.70
"
AIN,$82.04,$71.28,"$10.76
"
DXC,$22.28,$16.10,"$6.18
"
ASTE,$38.06,$30.28,"$7.78
"
AORT,$29.00,$17.93,"$11.07
"
HTZ,$4.66,$3.42,"$1.24
"
JOE,$48.57,$49.83,"$-1.26
"
ARR,$19.46,$17.52,"$1.94
"
JBT,$123.38,$88.81,"$34.57
"
CRSR,$8.05,$6.62,"$1.43
"
HCSG,$12.57,$9.39,"$3.18
"
HMN,$41.85,$33.18,"$8.67
"
AMPH,$43.83,$39.60,"$4.23
"
GFF,$80.28,$49.81,"$30.47
"
ESE,$142.66,$102.87,"$39.79
"
EPAC,$47.84,$29.50,"$18.34
"
BOX,$32.56,$25.14,"$7.42
"
GPI,$424.69,$277.55,"$147.14
"
CTRE,$28.84,$21.66,"$7.18
"
AMSF,$53.36,$44.05,"$9.31
"
AKR,$25.32,$15.91,"$9.41
"
AHCO,$9.47,$7.02,"$2.45
"
BJRI,$35.48,$28.87,"$6.61
"
JBLU,$6.82,$4.53,"$2.29
"
HOPE,$13.29,$10.06,"$3.23
"
BXMT,$18.87,$17.29,"$1.58
"
CUBI,$53.81,$45.21,"$8.60
"
FTDR,$57.52,$32.65,"$24.87
"
AEO,$17.70,$17.62,"$0.08
"
CRS,$184.19,$72.80,"$111.39
"
GRBK,$68.63,$50.71,"$17.92
"
AHH,$10.89,$10.33,"$0.56
"
JXN,$94.32,$53.21,"$41.11
"
DORM,$137.42,$78.75,"$58.67
"
CSGS,$53.69,$41.50,"$12.19
"
BDN,$5.75,$4.21,"$1.54
"
DCOM,$35.34,$19.41,"$15.93
"
HRMY,$33.48,$30.05,"$3.43
"
BRC,$75.55,$55.70,"$19.85
"
ALG,$195.55,$171.23,"$24.32
"
CXW,$21.93,$12.58,"$9.35
"
IIIN,$30.52,$28.13,"$2.39
"
CMA,$67.69,$46.22,"$21.47
"
IBTX,$66.04,$39.55,"$26.49
"
ECPG,$49.36,$41.30,"$8.06
"
CURB,$24.34,$20.32,"$4.02
"
CEVA,$31.55,$17.71,"$13.84
"
GO,$19.35,$15.48,"$3.87
"
CRVL,$350.30,$223.36,"$126.94
"
ABM,$56.83,$41.72,"$15.11
"
APLE,$16.17,$14.07,"$2.10
"
FBRT,$13.06,$12.32,"$0.74
"
ETD,$30.70,$27.35,"$3.35
"
IOSP,$116.56,$107.48,"$9.08
"
GMS,$97.48,$69.79,"$27.69
"
CFFN,$6.62,$5.00,"$1.62
"
BGC,$9.16,$6.69,"$2.47
"
HLIT,$13.00,$9.77,"$3.23
"
ARCH,$153.90,$126.84,"$27.06
"
BKU,$41.47,$26.50,"$14.97
"
BBWI,$39.19,$29.40,"$9.79
"
IDCC,$193.03,$105.25,"$87.78
"
KWR,$156.19,$158.48,"$-2.29
"
BRKL,$12.58,$8.63,"$3.95
"
KN,$19.70,$15.67,"$4.03
"
DV,$20.34,$18.92,"$1.42
"
AAT,$28.00,$19.81,"$8.19
"
GIII,$31.58,$25.18,"$6.40
"
HAYW,$15.99,$12.15,"$3.84
"
HIW,$31.73,$19.72,"$12.01
"
JBSS,$87.93,$84.29,"$3.64
"
CBRL,$49.35,$40.54,"$8.81
"
DIOD,$63.13,$56.29,"$6.84
"
CVI,$19.46,$18.07,"$1.39
"
IBP,$218.09,$158.28,"$59.81
"
JACK,$48.32,$46.26,"$2.06
"
HELE,$73.18,$56.34,"$16.84
"
CATY,$50.93,$36.37,"$14.56
"
ALEX,$19.68,$16.07,"$3.61
"
BFS,$40.25,$35.84,"$4.41
"
ALKS,$31.31,$24.00,"$7.31
"
ALGT,$82.26,$41.08,"$41.18
"
BGS,$7.56,$6.79,"$0.77
"
ITGR,$138.31,$90.86,"$47.45
"
DVAX,$12.84,$10.54,"$2.30
"
CWEN,$28.60,$21.88,"$6.72
"
HP,$34.06,$31.07,"$2.99
"
AMR,$232.24,$213.87,"$18.37
"
GPRE,$10.96,$12.34,"$-1.38
"
FL,$21.82,$22.28,"$-0.46
"
CNK,$33.31,$15.62,"$17.69
"
AZZ,$94.17,$52.88,"$41.29
"
HPP,$3.52,$3.71,"$-0.19
"
FSS,$98.21,$71.47,"$26.74
"
JBGS,$16.60,$13.81,"$2.79
"
CON,$20.51,$19.97,"$0.54
"
AUB,$42.17,$31.77,"$10.40
"
CLB,$19.39,$15.13,"$4.26
"
AAP,$47.44,$40.76,"$6.68
"
CTS,$55.63,$41.18,"$14.45
"
CALM,$101.79,$51.95,"$49.84
"
DFIN,$61.00,$57.78,"$3.22
"
EYE,$11.48,$11.09,"$0.39
"
CVCO,$503.69,$303.04,"$200.65
"
ELME,$16.79,$13.33,"$3.46
"
FELE,$107.43,$89.89,"$17.54
"
EAT,$122.76,$44.97,"$77.79
"
KOP,$34.95,$36.32,"$-1.37
"
GNL,$7.23,$6.92,"$0.31
"
BLMN,$12.72,$14.25,"$-1.53
"
CALX,$34.97,$29.41,"$5.56
"
GBX,$66.87,$38.28,"$28.59
"
GDOT,$11.12,$8.49,"$2.63
"
EPRT,$32.75,$24.59,"$8.16
"
EZPW,$12.11,$8.55,"$3.56
"
ADEA,$13.36,$9.67,"$3.69
"
ASIX,$31.64,$22.10,"$9.54
"
CENT,$41.02,$32.39,"$8.63
"
DEI,$19.89,$12.20,"$7.69
"
AWI,$156.22,$90.78,"$65.44
"
AVAV,$160.42,$129.98,"$30.44
"
CWK,$15.20,$8.95,"$6.25
"
HWKN,$134.22,$67.86,"$66.36
"
ICHR,$33.27,$27.30,"$5.97
"
BKE,$52.77,$38.48,"$14.29
"
GTY,$32.31,$26.82,"$5.49
"
ARLO,$13.14,$9.38,"$3.76
"
FWRD,$33.84,$17.67,"$16.17
"
AROC,$25.32,$15.34,"$9.98
"
GOGO,$7.87,$6.76,"$1.11
"
GNW,$7.39,$5.93,"$1.46
"
JJSF,$170.64,$139.04,"$31.60
"
COLL,$30.61,$27.14,"$3.47
"
ALRM,$68.27,$54.65,"$13.62
"
IIPR,$107.36,$85.49,"$21.87
"
ABR,$14.29,$12.46,"$1.83
"
ACA,$107.20,$77.01,"$30.19
"
CNS,$100.44,$61.53,"$38.91
"
BHLB,$30.37,$21.58,"$8.79
"
ACLS,$77.10,$78.75,"$-1.65
"
CENX,$22.22,$9.02,"$13.20
"
HTLD,$11.98,$10.40,"$1.58
"
ETSY,$58.75,$51.56,"$7.19
"
DFH,$30.95,$26.02,"$4.93
"
AVA,$37.42,$33.03,"$4.39
"
AWR,$81.73,$68.63,"$13.10
"
ATI,$56.69,$41.46,"$15.23
"
AZTA,$46.84,$43.12,"$3.72
"
HI,$33.62,$27.90,"$5.72
"
INN,$6.82,$5.82,"$1.00
"
KTB,$87.87,$57.34,"$30.53
"
BHE,$47.59,$27.80,"$19.79
"
IAC,$48.41,$46.48,"$1.93
"
GTES,$22.37,$12.78,"$9.59
"
HIMS,$32.63,$10.99,"$21.64
"
CVBF,$23.18,$16.61,"$6.57
"
CHEF,$47.36,$28.88,"$18.48
"
AMBC,$12.47,$11.20,"$1.27
"
FOXF,$32.01,$34.55,"$-2.54
"
CNSL,$4.69,$4.23,"$0.46
"
ABG,$257.26,$208.99,"$48.27
"
FHB,$27.39,$20.03,"$7.36
"
INVA,$19.17,$14.32,"$4.85
"
ANIP,$58.03,$50.93,"$7.10
"
ENVA,$101.95,$45.91,"$56.04
"
ITRI,$115.14,$71.53,"$43.61
"
ECG,$66.95,$50.99,"$15.96
"
KMT,$27.31,$23.40,"$3.91
"
KLG,$20.68,$12.76,"$7.92
"
ARCB,$110.65,$104.37,"$6.28
"
FIZZ,$48.27,$44.47,"$3.80
"
FLGT,$20.97,$18.08,"$2.89
"
APOG,$80.78,$48.82,"$31.96
"
HSII,$45.63,$29.12,"$16.51
"
AXL,$6.84,$5.91,"$0.93
"
CCS,$88.19,$74.49,"$13.70
"
CAL,$26.97,$28.34,"$-1.37
"
AVNS,$18.54,$18.49,"$0.05
"
EXPI,$13.00,$9.99,"$3.01
"
ANDE,$46.46,$45.05,"$1.41
"
IART,$24.38,$19.84,"$4.54
"
CABO,$400.85,$340.57,"$60.28
"
KREF,$11.32,$9.39,"$1.93
"
APAM,$48.41,$38.18,"$10.23
"
COOP,$95.90,$63.62,"$32.28
"
BFH,$64.44,$30.47,"$33.97
"
ENR,$38.06,$28.56,"$9.50
"
GVA,$96.09,$49.90,"$46.19
"
KAR,$20.52,$14.58,"$5.94
"
AGYS,$129.06,$80.88,"$48.18
"
CWT,$48.30,$44.97,"$3.33
"
ALK,$54.16,$35.25,"$18.91
"
AMWD,$88.62,$74.97,"$13.65
"
DY,$183.47,$110.44,"$73.03
"
CBU,$67.69,$44.46,"$23.23
"
BCPC,$175.96,$128.82,"$47.14
"
DEA,$11.77,$11.39,"$0.38
"
FDP,$33.42,$22.62,"$10.80
"
CXM,$9.02,$8.01,"$1.01
"
AMN,$28.06,$29.31,"$-1.25
"
KW,$11.34,$8.54,"$2.80
"
DRH,$9.63,$7.97,"$1.66
"
DOCN,$39.03,$28.94,"$10.09
"
CCOI,$76.57,$55.26,"$21.31
"
DXPE,$78.31,$35.26,"$43.05
"
FULT,$20.98,$14.82,"$6.16
"
GES,$15.89,$17.34,"$-1.45
"
KSS,$15.26,$16.21,"$-0.95
"
EXTR,$17.58,$11.38,"$6.20
"
FTRE,$22.53,$19.16,"$3.37
"
ASO,$50.41,$48.26,"$2.15
"
CRGY,$14.40,$10.69,"$3.71
"
KELYA,$14.71,$15.00,"$-0.29
"
DAN,$12.96,$8.40,"$4.56
"
CERT,$11.51,$10.54,"$0.97
"
CAKE,$48.76,$33.33,"$15.43
"
GSHD,$119.97,$61.05,"$58.92
"
GDEN,$33.09,$29.08,"$4.01
"
CARG,$37.87,$23.04,"$14.83
"
BCC,$145.32,$113.76,"$31.56
"
CENTA,$34.96,$29.40,"$5.56
"
FCPT,$29.24,$23.39,"$5.85
"
BANC,$16.81,$12.12,"$4.69
"
CPRX,$21.74,$14.25,"$7.49
"
HASI,$31.59,$23.75,"$7.84
"
ARI,$9.24,$9.02,"$0.22
"
FCF,$18.39,$13.31,"$5.08
"
ASTH,$40.01,$35.91,"$4.10
"
HCI,$116.58,$87.61,"$28.97
"
FFBC,$28.95,$21.21,"$7.74
"
CRK,$14.74,$8.10,"$6.64
"
BLFS,$26.27,$13.84,"$12.43
"
CARS,$19.14,$15.72,"$3.42
"
EIG,$52.25,$39.29,"$12.96
"
BMI,$228.07,$149.04,"$79.03
"
EGBN,$28.97,$17.86,"$11.11
"
KLIC,$50.14,$40.38,"$9.76
"
HBI,$8.37,$4.16,"$4.21
"
HZO,$32.65,$25.98,"$6.67
"
DLX,$23.54,$18.49,"$5.05
"
KALU,$81.00,$62.07,"$18.93
"
IRWD,$3.98,$4.52,"$-0.54
"
BANF,$127.24,$86.10,"$41.14
"
CEIX,$115.95,$82.02,"$33.93
"
INDB,$70.69,$49.31,"$21.38
"
ADUS,$120.72,$91.33,"$29.39
"
FBP,$20.51,$15.60,"$4.91
"
GKOS,$138.69,$68.26,"$70.43
"
CPF,$30.92,$18.73,"$12.19
"
FBNC,$48.33,$31.78,"$16.55
"
COHU,$27.46,$24.50,"$2.96
"
HNI,$56.37,$40.41,"$15.96
"
AGO,$89.68,$70.16,"$19.52
"
FUL,$75.82,$74.26,"$1.56
"
BANR,$73.78,$46.22,"$27.56
"
CNXN,$74.08,$61.03,"$13.05
"
ADMA,$19.01,$5.66,"$13.35
"
HFWA,$25.96,$17.72,"$8.24
"
AOSL,$48.69,$22.79,"$25.90
"
EMBC,$19.60,$11.18,"$8.42
"
BL,$63.43,$46.23,"$17.20
"
AIR,$65.96,$58.91,"$7.05
"
EPC,$37.10,$34.57,"$2.53
"
