Symbol,Company Name,Sector,Market Cap,52-Week High,52-Week Low,Average Price,Previous Close,Industry,Market Capital,P/E Ratio,P/B Ratio,PEG Ratio,Dividend Yield,EPS,Revenue,Profit Margin,EBITDA,Earnings Date
LRCX,Lam Research Corporation,Technology,99988398080,113.0,57.442,85.221,75.45,Semiconductor Equipment & Materials,99774545920.0,24.912622,11.740126,1.29,0.012200001,3.09,15591300096.0,0.2602,4920197120.0,Not Available
LIN,Linde plc,Basic Materials,226150187008,487.49,376.7,432.095,476.0,Specialty Chemicals,226594275328.0,36.114155,5.9350142,3.21,0.0117,13.14,32824000512.0,0.19492,12398000128.0,Not Available
LULU,Lululemon Athletica Inc.,Consumer Cyclical,37536919552,516.39,226.01,371.2,307.54,Apparel Retail,37400330240.0,23.577398,9.348474,2.5,Not Available,12.92,9989289984.0,0.16343,2699964928.0,Not Available
MAR,"Marriott International, Inc.",Consumer Cyclical,74361520128,266.58,180.75,223.665,262.55,Lodging,74240425984.0,26.423847,Not Available,5.05,0.0095999995,9.98,6469000192.0,0.45386,4272999936.0,Not Available
MRVL,"Marvell Technology, Inc.",Technology,73029230592,85.76,46.07,65.915,83.44,Semiconductors,73012002816.0,Not Available,5.1399474,2.75,0.0029,-1.11,5278900224.0,-0.18297,996499968.0,Not Available
MELI,"MercadoLibre, Inc.",Consumer Cyclical,104743870464,2161.73,1205.8,1683.765,2056.09,Internet Retail,104155267072.0,74.571686,28.48892,1.3,Not Available,27.55,17107999744.0,0.08177,2919000064.0,Not Available
META,"Meta Platforms, Inc.",Communication Services,1489418846208,602.95,296.86,449.905,578.16,Internet Content & Information,1482550411264.0,29.9913,9.469203,1.99,0.0034999999,19.54,149784002560.0,0.34339002,74774003712.0,Not Available
MCHP,Microchip Technology Incorporated,Technology,41890312192,100.57,68.75,84.66,77.2,Semiconductors,42013704192.0,31.199202,6.5586267,-3.63,0.0235,2.51,6587100160.0,0.20795,2720900096.0,Not Available
MU,"Micron Technology, Inc.",Technology,118208307200,157.54,65.26,111.4,106.39,Semiconductors,118014287872.0,152.05714,2.6155548,-4.57,0.0043,0.7,25110999040.0,0.03098,8944000000.0,Not Available
MSFT,Microsoft Corporation,Technology,3201195573248,468.35,334.69,401.52,426.59,Software - Infrastructure,3194802143232.0,36.35618,11.898933,2.18,0.0078,11.82,245122007040.0,0.35956,129433001984.0,Not Available
MRNA,"Moderna, Inc.",Healthcare,21274396672,170.47,52.26,111.365,54.8,Biotechnology,21122482176.0,Not Available,1.8016328,0.11,Not Available,-15.35,5049999872.0,-1.16178,-4107000064.0,Not Available
MDLZ,"Mondelez International, Inc.",Consumer Defensive,92644417536,77.2,64.18,70.69,69.54,Confectioners,92824739840.0,23.879725,3.3558698,3.07,0.027,2.91,35975999488.0,0.10971,7886000128.0,Not Available
MDB,"MongoDB, Inc.",Technology,20416792576,509.62,212.74,361.18,272.18,Software - Infrastructure,20284196864.0,Not Available,14.8799715,43.2,Not Available,-3.02,1819609984.0,-0.12084,-264264992.0,Not Available
MNST,Monster Beverage Corporation,Consumer Defensive,52255256576,61.23,43.32,52.275,53.1,Beverages - Non-Alcoholic,52059365376.0,33.21875,8.91031,2.38,Not Available,1.6,7385830912.0,0.22841999,2149065984.0,Not Available
NFLX,"Netflix, Inc.",Communication Services,323179610112,773.0,404.63,588.815,749.12,Entertainment,324030234624.0,42.875565,14.261471,1.44,Not Available,17.68,37587279872.0,0.20701,9976898560.0,Not Available
