Symbol,Stock Price,Predicted Short Position for Next Month,Difference
MMC,230.03,218.9,11.13
FOXA,38.91,39.15,-0.24
POOL,346.49,341.85,4.64
CZR,36.53,35.14,1.39
FFIV,205.95,192.85,13.1
CRWD,257.1,249.65,7.45
CINF,135.12,129.42,5.7
VMC,236.27,234.14,2.13
MKTX,256.41,233.84,22.57
SRE,81.7,79.0,2.7
LHX,228.17,227.13,1.04
ORLY,1119.93,1115.24,4.69
IVZ,15.86,15.86,-0.0
RCL,165.57,154.28,11.29
SNPS,488.95,474.17,14.78
GOOG,155.54,151.46,4.08
EPAM,202.3,196.47,5.83
NDSN,248.24,238.71,9.53
YUM,133.41,133.37,0.04
EQT,32.86,31.41,1.45
LYV,97.27,92.45,4.82
PFE,29.16,28.44,0.72
AVGO,164.56,140.1,24.46
DUK,115.97,112.39,3.58
REGN,1164.46,1138.49,25.97
CL,106.34,101.43,4.91
VZ,43.86,40.42,3.44
JCI,71.22,68.32,2.9
DAY,58.76,53.6,5.16
FSLR,235.95,208.81,27.14
AMGN,330.06,321.86,8.2
TEL,144.12,144.44,-0.32
JBL,103.8,101.87,1.93
VST,80.47,74.93,5.54
JKHY,175.54,164.97,10.57
ADP,278.4,263.66,14.74
ON,69.33,69.04,0.29
STT,82.58,79.62,2.96
RSG,205.24,201.17,4.07
IFF,103.44,97.32,6.12
CARR,75.37,66.44,8.93
TRMB,55.68,53.08,2.6
QCOM,164.98,159.98,5.0
LYB,93.86,93.87,-0.01
GIS,73.01,69.39,3.62
PHM,135.3,123.2,12.1
ROST,152.68,142.72,9.96
LUV,28.87,25.82,3.05
LW,63.87,59.58,4.29
MS,96.64,97.29,-0.65
CPB,49.78,49.03,0.75
OKE,90.5,86.4,4.1
BK,69.02,64.1,4.92
J,142.5,142.81,-0.31
SYF,46.41,46.23,0.18
CHD,103.55,100.61,2.94
HWM,94.23,92.0,2.23
MHK,150.08,145.4,4.68
TFC,41.63,41.91,-0.28
DAL,44.27,39.23,5.04
APA,23.7,24.21,-0.51
K,80.26,75.11,5.15
AFL,107.97,102.61,5.36
CSX,33.45,33.38,0.07
NI,33.63,31.84,1.79
CPT,123.1,120.11,2.99
PFG,80.24,75.85,4.39
NCLH,19.03,15.89,3.14
RJF,116.98,112.57,4.41
HBAN,14.2,13.63,0.57
UNH,588.42,577.24,11.18
PRU,115.84,110.7,5.14
GPC,136.21,135.24,0.97
WTW,289.64,276.67,12.97
WMB,45.09,43.37,1.72
EQR,77.38,71.77,5.61
DVA,157.64,147.02,10.62
AIG,73.18,72.17,1.01
MA,492.11,462.39,29.72
HON,204.67,197.84,6.83
VICI,33.57,31.69,1.88
O,62.41,60.03,2.38
NWSA,25.96,26.19,-0.23
TTWO,153.61,146.56,7.05
AES,18.12,16.38,1.74
SLB,39.8,40.18,-0.38
DOC,22.41,21.59,0.82
TT,359.67,341.65,18.02
TGT,148.44,138.12,10.32
AAPL,222.77,221.08,1.69
MKC,83.17,77.51,5.66
OTIS,92.72,91.8,0.92
CEG,189.93,175.46,14.47
TDY,427.59,410.94,16.65
WY,31.41,30.07,1.34
APD,280.02,269.84,10.18
GRMN,182.76,171.02,11.74
AEE,83.5,81.64,1.86
BX,146.5,134.14,12.36
HLT,216.13,206.61,9.52
DLTR,67.89,67.29,0.6
STE,246.48,232.03,14.45
HAS,67.31,64.51,2.8
TMUS,202.41,194.11,8.3
WMT,79.66,69.14,10.52
NTAP,116.46,116.14,0.32
KIM,23.65,22.04,1.61
BAX,39.38,35.01,4.37
LMT,568.27,556.04,12.23
KKR,120.36,116.63,3.73
KEY,16.1,15.79,0.31
KEYS,148.42,130.33,18.09
BMY,48.24,47.9,0.34
PSA,359.12,320.36,38.76
WYNN,76.26,74.37,1.89
EFX,297.77,293.54,4.23
NUE,140.6,139.18,1.42
PKG,208.42,195.86,12.56
GDDY,152.61,152.03,0.58
WAB,167.73,157.55,10.18
CTSH,76.31,74.62,1.69
GEV,215.27,183.21,32.06
SWK,97.83,96.1,1.73
CRL,194.32,189.82,4.5
MU,87.21,88.66,-1.45
TRV,234.11,213.9,20.21
L,78.07,77.53,0.54
AEP,102.99,97.25,5.74
CI,362.17,335.85,26.32
DOW,50.26,50.64,-0.38
CDW,218.64,213.61,5.03
BALL,65.63,62.56,3.07
JNJ,164.64,159.28,5.36
WM,207.86,204.85,3.01
DOV,186.68,176.24,10.44
CRM,253.37,246.01,7.36
PGR,249.48,225.49,23.99
WAT,322.08,324.53,-2.45
IEX,198.11,194.61,3.5
BWA,31.98,31.81,0.17
LRCX,747.78,747.63,0.15
BLK,885.12,859.31,25.81
PPL,31.96,31.07,0.89
